Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.933927,ttmm,1.8,40.0,0.01,0.001,499305.0,91.5501692828468,-0.06041332980000046,116.02798506,0.023774171399999888,0.0006479999999999819,0.738673,129703.0,1
0.938283,ttmm,1.8,40.0,0.011,0.002,576505.0,84.75984658499766,-0.09876599820000091,116.9880138,0.023621932799997546,0.0010939999999999284,0.742435,61600.00000000006,2
0.827225,ttmm,1.8,40.0,0.011,0.004,600000.0,77.16018916700786,-0.10453458600000197,107.87193072,0.023673526199997713,0.01696299999999995,0.727508,56698.0,3
0.91928,ttmm,1.8,40.0,0.012,0.004,600000.0,86.64251242163799,-0.1386195677999999,118.37728782,0.023661774000000295,0.0041200000000000125,0.735705,53895.0,4
0.878793,ttmm,1.8,40.0,0.011,0.007,576905.0,83.51099835540047,0.024054418800000043,116.28257058,0.024120653400000008,0.010801999999999978,0.73595,62000.00000000006,5
0.886228,ttmm,1.8,40.0,0.011,0.004,600000.0,83.1091146970501,-0.10126634399999977,114.11321256,0.023591397600000178,0.01225199999999993,0.737733,56698.0,6
1.01956,ttmm,1.8,40.0,0.011,0.004,600000.0,83.43638081543374,-0.10927232820000037,118.55071386,0.023615744399999826,-0.007665999999999951,0.743518,58895.0,7
0.898952,ttmm,1.8,40.0,0.011,0.006,556302.0,81.7226062364864,-0.08651860019999992,115.8585714,0.023530125600000104,0.007289999999999908,0.736103,61897.00000000006,8
0.882301,ttmm,1.8,40.0,0.012,0.007,581705.0,86.25711964478712,0.023598905400000047,113.16453102000001,0.02419015499999994,0.004133000000000053,0.735225,62200.00000000006,9
0.903084,ttmm,1.8,40.0,0.012,0.006,560902.0,85.21707101009767,-0.12465531108000003,115.03027494,0.023818771800000006,0.006207999999999991,0.736894,62000.00000000006,10
0.925865,ttmm,1.8,40.0,0.013,0.005,544705.0,87.86751005775265,-1.449560457000001,115.89448698,0.023582849400000206,0.003801999999999972,0.736123,61903.0,11
0.924925,ttmm,1.8,40.0,0.011,0.007,576705.0,85.87857980198588,-0.08731190879999957,122.8339638,0.0240947154,0.006839999999999957,0.743172,61903.00000000006,12
0.899317,ttmm,1.8,40.0,0.011,0.006,556702.0,81.56141511120939,-0.0846691002,115.86622554000002,0.02355987059999773,0.009417000000000009,0.737906,61897.00000000006,13
0.891234,ttmm,1.8,40.0,0.011,0.006,556302.0,81.35068689865011,-1.1028026916,115.38174654000002,0.02395620720000231,0.009977000000000014,0.737877,61897.00000000006,14
0.901312,ttmm,1.8,40.0,0.011,0.004,596805.0,79.04130952158378,-0.10181832300000018,111.68430660000001,0.023870305800001764,0.006648000000000098,0.737036,61700.0,15
0.915414,ttmm,1.8,40.0,0.012,0.004,600000.0,86.51970298779091,-1.2422457467999999,113.69593872,0.023776651799999902,0.009379000000000026,0.740545,54495.0,16
0.902491,ttmm,1.8,40.0,0.012,0.007,585905.0,87.69410366087112,0.02356471619999995,116.8797024,0.023575663800000028,0.007337000000000038,0.738906,62000.00000000006,17
0.910623,ttmm,1.8,40.0,0.011,0.007,577505.0,85.1224443820585,-0.08537003713800001,117.45377712,0.0237118734,0.005099000000000076,0.737939,62099.99999999994,18
1.01699,ttmm,1.8,40.0,0.009,0.007,558202.0,90.63466782038562,-0.055606705199999655,115.94473974,0.02380691880000014,-0.010951000000000044,0.749748,62696.99999999994,19
,ttmm,1.8,40.0,,,,84.58148646263513,47.12436054,100.55226420000001,,,,,20
0.926139,ttmm,1.8,40.0,0.011,0.004,600000.0,83.40964430804726,-1.0092424824000004,118.45808874000001,0.02360130660000013,0.001414999999999944,0.736992,57298.0,21
0.911987,ttmm,1.8,40.0,0.011,0.004,600000.0,82.08094020226446,-0.09698512319999743,113.59281366,0.02363924700000247,0.006576999999999944,0.736851,56698.0,22
0.882247,ttmm,1.8,40.0,0.013,0.005,544705.0,88.60089069684214,-0.15188056740000044,115.79180382,0.023552821800000262,0.007319999999999993,0.734006,61903.0,23
0.87163,ttmm,1.8,40.0,0.011,0.004,600000.0,82.07917960436538,-0.10154672820000038,112.94914553999999,0.023776144199999707,0.013853000000000004,0.733581,56698.0,24
,ttmm,1.8,40.0,,,,91.92735476170566,47.9837457,108.7257438,,,,,25
0.910382,ttmm,1.8,40.0,0.011,0.004,600000.0,82.67116993465469,-0.09452640419999973,117.56414988,0.023677630200000802,0.004257999999999984,0.735406,57298.0,26
0.916787,ttmm,1.8,40.0,0.011,0.004,600000.0,84.12790963991935,-0.08826202800000019,115.9632432,0.023672271600000027,0.006169000000000091,0.741659,56698.0,27
0.956549,ttmm,1.8,40.0,0.011,0.004,600000.0,83.83947244405587,-0.10836451980000049,119.57717537999999,0.023992432199997967,0.00017599999999995397,0.742252,62395.0,28
0.920671,ttmm,1.8,40.0,0.013,0.005,544705.0,90.10311345200091,-1.4488545196800005,117.63414689400001,0.023562165599999952,0.004915000000000003,0.735952,61903.0,29
0.956471,ttmm,1.8,80.0,0.011,0.001,397702.0,83.71974296756662,48.55768380000001,104.67996839999999,,-0.0017169999999999686,0.667245,,0
0.964636,ttmm,1.8,80.0,0.009,0.009,600000.0,75.99492379561754,0.02763596519999998,108.16033824,0.02764387079999993,-0.0044759999999999245,0.666609,59695.0,1
0.969651,ttmm,1.8,80.0,0.01,0.007,552902.0,72.71029184949451,-1.0645630704000002,105.61613832,0.025575874199997815,-0.0005799999999999139,0.670172,62800.00000000006,2
0.857014,ttmm,1.8,80.0,0.011,0.003,574405.0,66.86851484681435,-1.2538838430000028,99.04316940000001,0.02705592599999719,0.010370000000000101,0.655256,61700.0,3
